width,x,y
24,447,338
24,446,335
24,446,332
24,445,329
25,445,328
25,444,326
24,443,319
24,442,316
25,442,313
26,441,312
27,438,310
29,436,310
31,432,306
33,430,303
34,428,300
34,425,293
34,424,287
34,423,285
34,424,282
34,424,279
32,426,275
32,426,274
32,426,275
32,427,275
34,427,276
31,431,277
29,434,285
27,437,293
25,439,302
24,439,314
26,439,330
27,442,335
26,444,341
25,446,347
24,447,359
24,449,366
24,450,372
24,450,379
24,450,384
24,449,389
24,448,394
24,446,396
24,443,393
24,440,388
25,433,380
24,434,372
24,435,361
24,436,350
25,436,333
26,436,325
26,436,318
27,437,308
27,438,300
28,438,292
26,437,276
25,438,267
24,439,261
23,441,255
22,441,256
22,440,258
23,437,271
23,436,276
23,436,282
23,436,292
23,435,301
23,435,307
24,434,317
24,434,324
25,433,335
26,435,341
27,436,345
27,437,352
27,438,364
27,438,372
29,439,380
30,441,386
32,443,390
33,446,392
33,446,390
32,446,388
33,443,382
33,441,378
33,438,370
33,439,365
33,439,360
32,440,352
32,439,350
33,438,352
34,436,352
35,432,350
36,428,349
38,422,349
40,412,349
42,406,350
43,400,349
44,394,350
45,387,349
47,383,349
46,374,351
47,368,352
47,364,352
47,359,353
47,349,352
47,343,352
47,338,351
45,327,350
45,322,349
44,320,349
43,321,350
41,322,350
39,325,349
37,331,348
36,337,347
35,345,344
35,360,340
35,368,339
35,382,337
35,389,337
35,395,337
36,406,337
38,411,337
39,416,337
41,421,338
43,428,338
45,434,339
46,441,340
46,453,340
45,460,341
45,469,340
44,475,340
43,481,339
42,486,339
41,490,339
40,498,339
38,502,340
37,506,341
36,507,342
35,506,342
35,504,342
34,500,342
33,497,341
32,493,340
31,489,339
29,482,338
30,480,339
30,476,339
29,474,338
29,472,337
29,472,337
29,471,337
29,470,337
30,467,337
31,464,336
31,459,335
31,457,336
32,454,336
33,446,336
35,441,336
36,437,336
36,431,335
37,427,335
38,424,334
39,422,334
39,419,333
39,418,333
39,418,333
39,418,333
39,417,333
38,417,332
38,417,332
38,418,332
36,419,332
35,420,332
33,422,331
32,425,329
30,428,328
29,434,328
29,439,327
29,446,326
28,451,327
28,457,326
27,460,326
27,463,326
27,464,326
28,468,326
29,470,325
30,473,324
31,476,323
31,483,323
32,487,322
33,491,322
35,498,322
36,502,323
36,508,322
37,511,323
37,517,322
37,521,321
36,527,318
36,531,317
35,534,316
35,536,317
35,536,317
35,537,318
34,536,319
34,534,319
33,530,319
33,527,320
33,520,319
33,514,319
33,501,321
33,493,321
33,486,322
34,480,323
34,474,324
34,465,325
35,460,326
35,455,327
36,445,330
37,440,331
38,430,332
39,424,333
39,418,335
40,409,337
40,404,338
40,395,341
41,389,342
40,380,343
40,375,344
40,371,345
40,367,345
40,359,346
40,355,347
40,351,348
40,341,350
39,335,351
39,324,352
39,318,353
38,308,355
38,303,356
36,296,355
35,294,356
35,292,357
34,290,357
33,290,357
32,291,357
31,294,356
31,297,353
32,306,350
32,311,347
33,324,342
32,335,338
32,350,332
32,361,331
32,370,330
31,385,325
32,394,326
32,401,325
34,409,325
34,424,322
35,434,321
37,447,320
38,455,318
37,467,317
36,471,317
37,472,318
38,470,320
39,467,322
39,465,322
38,463,322
38,457,322
38,451,322
37,439,320
37,433,318
36,429,316
36,425,315
35,423,314
34,423,314
34,423,314
33,423,314
32,424,314
32,425,315
32,425,315
31,425,315
31,424,315
30,424,315
30,425,315
29,425,314
29,425,314
29,426,314
29,425,314
